,diagrp,Cause,SOdm,Occupation,Observed,Exp_Adj,PMR_Adj,Lower_Adj,Upper_Adj,Exp_Unadj,PMR_Unadj,Lower_Unadj,Upper_Unadj
24572,138,Pulmonary fibrosis,148,"Scaffolders, Stagers, Steeplejacks, Riggers",6,3.427554,175.0519,64.24115,381.0151,3.1258,191.9509,70.44276,417.797
17165,97,Endocarditis,169,"Builders, Building Contractors",7,4.00252,174.8898,70.3157,360.3405,4.702219,148.8659,59.85259,306.7211
13404,77,Dementia,11,School Teachers,61,34.90612,174.7544,133.6734,224.4795,32.59262,187.1589,143.1618,240.4136
18358,104,Sub-arachnoid haemorrhage,78,"Other Food, Drink & Tobacco Process Operatives nes",15,8.585436,174.7145,97.78653,288.1647,9.608519,156.1115,87.37455,257.4819
2600,15,Cancer of the colon,67,Tannery Production Operatives,10,5.723936,174.705,83.77802,321.2894,6.02008,166.1107,79.65675,305.4843
28753,161,Renal failure,173,"Mains & Service Pipe Layers, Pipe Jointers",6,3.435415,174.6514,64.09414,380.1432,3.484744,172.1791,63.18685,374.7621
3252,18,Cancer of the gall bladder,194,"Electrical, Energy, Boiler & Related Plant Operatives & Att",6,3.436816,174.5802,64.06802,379.9883,3.462736,173.2734,63.58846,377.144
2810,16,Cancer of the rectum,101,Upholsterers,21,12.0382,174.4446,107.9837,266.6569,11.95506,175.6579,108.7347,268.5114
17147,97,Endocarditis,144,"Plumbers, Heating & Ventilating Engineers & Related Trades",6,3.439713,174.4332,64.01407,379.6684,4.054111,147.9979,54.31278,322.1299
8267,46,Cancer of the brain,130,Precision Instrument Makers & Repairers,19,10.89358,174.4147,105.0087,272.3706,12.1702,156.119,93.99352,243.7996
25383,143,Peptic ulcer,44,Retailers and Dealers,10,5.735319,174.3582,83.61173,320.6517,6.264784,159.6224,76.54533,293.552
10117,57,Chronic lymphatic leukaemia,180,Railway engine drivers,10,5.737852,174.2813,83.57484,320.5102,6.343981,157.6297,75.58976,289.8874
27755,156,Cirrhosis (not specified as biliary),63,Railway Station Staff,11,6.315672,174.1699,86.94563,311.6375,8.066133,136.3727,68.07723,244.0079
25153,141,Gastric ulcer,194,"Electrical, Energy, Boiler & Related Plant Operatives & Att",12,6.895374,174.0297,89.92406,303.9951,6.264497,191.5557,98.98001,334.6095
8517,48,Cancer of the thyroid,11,School Teachers,6,3.456544,173.5838,63.70236,377.8196,2.804318,213.9558,78.5182,465.6925
9566,54,Myeloma,172,Sewage plant attendants,6,3.458604,173.4804,63.66442,377.5946,4.545237,132.0063,48.44412,287.3228
13635,78,Other alcohol-related diseases,61,Hospital Porters and Ward Orderlies,20,11.52873,173.4797,105.9657,267.9255,12.3943,161.3645,98.56546,249.2145
2392,14,Cancer of the small intestine,40,"Managers in Transport, Mining and Energy Industries",9,5.190306,173.4002,79.29012,329.1675,3.972464,226.5597,103.5982,430.0807
26291,148,Other hernia,47,Farmers,19,10.97061,173.1899,104.2713,270.458,11.07347,171.5812,103.3027,267.9457
3743,21,Cancer of the peritoneum,132,Production fitters,8,4.627088,172.8949,74.64306,340.6721,5.297161,151.0243,65.20097,297.5783
37088,207,Fall unspecified,182,Bus & Coach Drivers,7,4.054899,172.6307,69.40739,355.6858,4.709896,148.6232,59.75504,306.2212
3063,17,Cancer of the liver,185,Bus Conductors and Drivers' Mates,8,4.634633,172.6135,74.52155,340.1176,5.154992,155.1894,66.99914,305.7852
16383,93,Pulmonary embolism and phlebitis,99,Clothing cutter,6,3.477922,172.5168,63.31079,375.4972,3.664389,163.7381,60.08915,356.3896
19329,109,Arterial embolism and thrombosis,160,Painters & Decorators,8,4.640611,172.3911,74.42555,339.6794,4.590514,174.2724,75.23776,343.3864
2854,16,Cancer of the rectum,151,Jewellery workers,6,3.483271,172.2519,63.21357,374.9206,3.46358,173.2312,63.57295,377.0521
40771,228,Injury undetermined as accidental or purposef,47,Farmers,47,27.30422,172.1346,126.4779,228.9023,27.33024,171.9707,126.3575,228.6844
1583,9,Cancer of the oral cavity,146,"Metal Plate Workers, Shipwrights, Riveters",9,5.23265,171.997,78.64849,326.5038,5.226123,172.2118,78.7467,326.9115
32264,181,Motor vehicle traffic accidents,47,Farmers,89,51.75035,171.9795,138.1137,211.6357,49.70916,179.0414,143.785,220.326
15331,87,Epilepsy,137,"Electricians, Electrical Maintenance Fitters",7,4.07095,171.9501,69.13374,354.2834,4.923841,142.1654,57.15863,292.9156
5838,33,Cancer of the male breast,47,Farmers,15,8.727994,171.8608,96.18934,283.458,8.091489,185.38,103.7559,305.7558
40876,228,Injury undetermined as accidental or purposef,169,"Builders, Building Contractors",14,8.147089,171.8405,93.94643,288.3189,10.36237,135.1043,73.86247,226.6818
15761,90,Chronic rheumatic heart disease,15,Doctors,6,3.500091,171.4241,62.90979,373.1188,3.864275,155.2685,56.98094,337.9547
21697,122,Unspecified pneumonia,176,Mine (excluding coal) & Quarry Workers,13,7.593862,171.1909,91.15257,292.7417,7.062187,184.079,98.01497,314.7807
17664,100,Aortic valve disorders,114,Smiths & Forge Workers,7,4.089682,171.1625,68.81709,352.6607,4.363328,160.428,64.50122,330.5435
15046,86,Multiple sclerosis,24,Literary and Artistic Occupations,11,6.42769,171.1346,85.43037,306.2064,4.892349,224.8409,112.2405,402.3016
2040,12,Cancer of oesophagus,50,Fire Service Personnel,44,25.71742,171.0903,124.3146,229.6805,24.36226,180.6072,131.2296,242.4565
8289,46,Cancer of the brain,161,Assemblers/Lineworkers (electrical/electronic goods),9,5.269816,170.784,78.09381,324.2011,6.526811,137.8928,63.05377,261.7634
24647,139,Fibrosing alveolitis,32,Laboratory Technicians,13,7.612879,170.7632,90.92487,292.0104,6.147027,211.4843,112.6073,361.6447
1584,9,Cancer of the oral cavity,147,Steel Erectors,7,4.099292,170.7612,68.65575,351.8339,4.090783,171.1164,68.79857,352.5658
20963,118,Pneumoccal and unspecified lobar pneumonia,165,"Bricklayers, Masons",29,16.98983,170.6903,114.3143,245.1396,16.89864,171.6114,114.9311,246.4624
14904,85,Motor neuron disease,63,Railway Station Staff,10,5.858725,170.6856,81.85057,313.8976,8.603284,116.2347,55.73918,213.7602
293,2,Tuberculosis,120,Other Metal Manufacturers,8,4.695807,170.3648,73.55073,335.6867,4.005207,199.74,86.23273,393.5676
25710,145,Non-alcoholic gastritis and duodenitis,9,Other Administrators,7,4.1137,170.1631,68.41529,350.6016,5.289781,132.3306,53.20447,272.6521
13575,78,Other alcohol-related diseases,1,Lawyers,14,8.229783,170.1138,93.00246,285.4219,6.251163,223.9583,122.4396,375.7637
11751,67,Diabetes,185,Bus Conductors and Drivers' Mates,20,11.76056,170.06,103.8769,262.644,11.64106,171.8056,104.9432,265.3401
893,5,Septicaemia,187,Crane Drivers,8,4.704872,170.0365,73.40901,335.0399,5.405405,148.0,63.89531,291.6192
14792,84,Parkinson's disease,142,Other Electrical/Electronic Trades nes,26,15.30219,169.9104,110.9913,248.9579,16.71049,155.5909,101.6374,227.9766
888,5,Septicaemia,182,Bus & Coach Drivers,13,7.656047,169.8004,90.41219,290.3639,8.786701,147.9509,78.77814,253.0005
4349,25,Cancer of the pleura,6,Sales Managers etc.,17,10.04951,169.1626,98.54316,270.8452,15.45742,109.9796,64.06698,176.0876
14940,85,Motor neuron disease,104,Carpenters & Joiners,54,31.97685,168.8722,126.8621,220.3416,35.14714,153.6398,115.4191,200.4667
28841,162,Urinary infections,63,Railway Station Staff,10,5.930923,168.6078,80.85419,310.0765,5.393738,185.4002,88.9068,340.9583
4460,25,Cancer of the pleura,124,Machine Tool Operatives (including CNC machine tool operati,60,35.60838,168.4997,128.5829,216.8925,41.77045,143.6422,109.6141,184.896
10374,59,Chronic myeloid leukaemia,58,Security Workers,18,10.68684,168.4314,99.82276,266.1947,10.90819,165.0136,97.79713,260.7929
31524,177,Rheumatoid arthritis,31,Draughtspersons,6,3.562453,168.4233,61.80853,366.5873,3.319894,180.7287,66.32441,393.371
28411,159,Pancreatitis,194,"Electrical, Energy, Boiler & Related Plant Operatives & Att",8,4.751386,168.3719,72.69038,331.7601,5.229727,152.9716,66.04169,301.4153
22173,125,Asthma,97,Printers,14,8.316854,168.3329,92.02879,282.4337,8.894761,157.396,86.04953,264.0835
9508,54,Myeloma,102,Carpet fitters,6,3.56798,168.1624,61.71278,366.0194,3.984704,150.5758,55.25881,327.7408
20499,116,Acute bronchitis,47,Farmers,21,12.49631,168.0496,104.0251,256.8815,12.30619,170.6458,105.6322,260.8499
32218,181,Motor vehicle traffic accidents,1,Lawyers,7,4.166776,167.9956,67.54383,346.1357,3.382145,206.9693,83.21346,426.4365
734,5,Septicaemia,11,School Teachers,22,13.09669,167.9814,105.2732,254.3261,11.24743,195.6002,122.5817,296.1413
25825,145,Non-alcoholic gastritis and duodenitis,132,Production fitters,7,4.16744,167.9688,67.53306,346.0805,4.142854,168.9657,67.93385,348.1344
24608,138,Pulmonary fibrosis,191,Dockers and Goods Porters,18,10.71789,167.9435,99.53358,265.4235,9.844575,182.8418,108.3632,288.9693
7897,44,Cancer of the kidney (except pelvis),122,"Centre, Capstan, Turret & Other Lathe Setters & Setter-Oper",24,14.3119,167.6926,107.4442,249.5133,15.42497,155.5919,99.69098,231.5085
22084,125,Asthma,3,Personnel Managers etc,7,4.177996,167.5444,67.36243,345.2061,4.702404,148.86,59.85024,306.7091
36817,206,Fracture unspecified,75,Chemical workers,6,3.582488,167.4814,61.46287,364.5371,3.083622,194.5764,71.40628,423.5117
2045,12,Cancer of oesophagus,55,Petrol Pump Forecourt Attendants,8,4.778586,167.4135,72.2766,329.8716,4.610037,173.5344,74.91913,341.9322
36570,205,Slipping and tripping,9,Other Administrators,8,4.778673,167.4105,72.27529,329.8656,3.348204,238.9341,103.1538,470.7957
1028,6,Viral hepatitis,132,Production fitters,6,3.58572,167.3304,61.40748,364.2086,5.091254,117.8492,43.24868,256.5085
28186,158,Cholelithiasis and cholecystitis,142,Other Electrical/Electronic Trades nes,9,5.381263,167.247,76.47647,317.4868,5.049263,178.2438,81.50497,338.3623
4467,25,Cancer of the pleura,132,Production fitters,117,69.96516,167.2261,138.2822,200.4247,48.94004,239.0681,197.6897,286.5291
28932,162,Urinary infections,171,Road Construction Workers and Paviors,6,3.590499,167.1077,61.32573,363.7238,3.371508,177.9619,65.30907,387.349
26331,148,Other hernia,88,Other coal miners,15,8.979497,167.0472,93.49522,275.5188,7.979285,187.9868,105.2149,310.0554
17725,100,Aortic valve disorders,186,Mechanical Plant Drivers & Operatives (earth moving & civil,11,6.590783,166.8997,83.31635,298.6292,7.017817,156.7439,78.24656,280.4576
18343,104,Sub-arachnoid haemorrhage,63,Railway Station Staff,11,6.591104,166.8916,83.31229,298.6146,8.381313,131.2444,65.51718,234.8319
13554,77,Dementia,178,Railway signal workers,7,4.195096,166.8615,67.08785,343.799,4.435728,157.8095,63.44844,325.1484
29449,165,Hyperplasia of prostate,137,"Electricians, Electrical Maintenance Fitters",9,5.394014,166.8516,76.29568,316.7363,5.389001,167.0068,76.36665,317.0309
28221,158,Cholelithiasis and cholecystitis,184,Other motor drivers,10,6.000551,166.6514,79.91599,306.4785,5.583369,179.1033,85.88721,329.3782
4040,23,Cancer of the larynx,59,Cooks and Kitchen Porters,17,10.2105,166.4953,96.98937,266.5746,9.46632,179.584,104.614,287.531
19027,108,Peripheral valve disease,23,Driving Instructors (excluding HGV),9,5.418383,166.1012,75.95255,315.3118,6.009603,149.7603,68.48039,284.2917
9575,54,Myeloma,181,Road transport inspectors,7,4.218693,165.9282,66.7126,341.876,4.736683,147.7827,59.41711,304.4894
9993,57,Chronic lymphatic leukaemia,39,Managers in Construction,14,8.441161,165.854,90.67355,278.2745,7.076345,197.8423,108.1618,331.9454
211,2,Tuberculosis,31,Draughtspersons,7,4.221981,165.7989,66.66064,341.6097,3.696459,189.3704,76.13773,390.1761
15028,86,Multiple sclerosis,6,Sales Managers etc.,13,7.844651,165.718,88.23847,283.3829,6.410913,202.7792,107.9721,346.7587
6981,39,Cancer of the prostate,109,Other Woodworkers,19,11.46652,165.6998,99.76177,258.7612,11.92912,159.2742,95.89311,248.7267
32345,181,Motor vehicle traffic accidents,137,"Electricians, Electrical Maintenance Fitters",27,16.29655,165.6793,109.1839,241.0548,19.18381,140.7437,92.75112,204.7747
5332,30,Melanoma of skin,84,Ceramics casters,7,4.225111,165.6761,66.61127,341.3568,4.857694,144.1013,57.93695,296.9043
13030,74,Defibrination syndrome,198,Other Labourers,6,3.622254,165.6427,60.78812,360.5352,4.552459,131.7969,48.36727,286.867
20957,118,Pneumoccal and unspecified lobar pneumonia,158,Coach Painters,8,4.832031,165.5618,71.47719,326.2231,4.264909,187.5773,80.98179,369.6022
37203,208,Injured by fire,104,Carpenters & Joiners,7,4.233345,165.3539,66.4817,340.6927,4.551226,153.8047,61.83828,316.897
319,2,Tuberculosis,149,Welding Trades,10,6.049945,165.2908,79.26353,303.9763,6.752876,148.0851,71.01271,272.3344
14856,85,Motor neuron disease,15,Doctors,15,9.081182,165.1767,92.44832,272.4337,5.577579,268.9339,150.5205,443.5652
24700,139,Fibrosing alveolitis,85,Rubber Manufacturers,7,4.238334,165.1592,66.40345,340.2917,4.419495,158.3891,63.68149,326.3427
2597,15,Cancer of the colon,64,Undertakers,17,10.29369,165.1497,96.20556,264.4203,9.272926,183.3294,106.7958,293.5276
21617,122,Unspecified pneumonia,79,Paper manufacturers,11,6.674159,164.8148,82.27554,294.8986,6.882473,159.8263,79.78527,285.9728
17707,100,Aortic valve disorders,168,Roofers and Glaziers,9,5.460715,164.8136,75.36376,312.8675,5.516019,163.1612,74.60816,309.7307
9496,54,Myeloma,85,Rubber Manufacturers,10,6.071655,164.6998,78.98012,302.8894,6.811881,146.8023,70.39759,269.9754
15097,86,Multiple sclerosis,75,Chemical workers,6,3.644613,164.6265,60.41519,358.3234,4.670944,128.4537,47.14036,279.5901
1623,9,Cancer of the oral cavity,194,"Electrical, Energy, Boiler & Related Plant Operatives & Att",10,6.075275,164.6016,78.93304,302.7089,6.268125,159.5374,76.50454,293.3956
28953,162,Urinary infections,192,Refuse & Salvage Collectors,7,4.253764,164.5601,66.16257,339.0573,3.817091,183.3857,73.73155,377.8454
20853,118,Pneumoccal and unspecified lobar pneumonia,39,Managers in Construction,11,6.693585,164.3365,82.03676,294.0428,8.155289,134.8818,67.33299,241.3403
22433,126,Bronchiectasis,188,Fork Lift & Mechanical Truck Drivers,7,4.259584,164.3353,66.07217,338.5941,4.226833,165.6086,66.58413,341.2176
25152,141,Gastric ulcer,192,Refuse & Salvage Collectors,9,5.477356,164.3128,75.13479,311.9169,3.929882,229.0145,104.7207,434.7408
13595,78,Other alcohol-related diseases,21,Other Health Professions,9,5.478359,164.2828,75.12103,311.8598,4.331949,207.7587,95.00111,394.3906
21627,122,Unspecified pneumonia,93,Plastic goods makers,14,8.522178,164.2773,89.81155,275.6291,7.989769,175.2241,95.79626,293.996
9274,53,Hodgkin's disease,44,Retailers and Dealers,7,4.261505,164.2612,66.0424,338.4415,4.078411,171.6355,69.00727,353.6353
9803,56,Acute lymphatic leukaemia,30,Other Professional Engineers,6,3.656864,164.075,60.2128,357.123,2.612767,229.6416,84.27464,499.8341
21443,121,Bronchopneumonia,87,Synthetic Fibre Makers,7,4.26933,163.9602,65.92136,337.8212,4.048312,172.9116,69.52034,356.2646
19215,109,Arterial embolism and thrombosis,30,Other Professional Engineers,6,3.660212,163.9249,60.15771,356.7962,4.081359,147.0099,53.95016,319.9792
14964,85,Motor neuron disease,130,Precision Instrument Makers & Repairers,9,5.491275,163.8964,74.94434,311.1263,6.017127,149.573,68.39477,283.9362
15948,91,Hypertensive disease,21,Other Health Professions,11,6.711579,163.8959,81.81682,293.2544,6.59039,166.9097,83.32133,298.647
17570,100,Aortic valve disorders,14,Clergy,11,6.71203,163.8849,81.81132,293.2347,6.11628,179.8479,89.78007,321.7969
35808,200,Fall on stairs,169,"Builders, Building Contractors",10,6.103472,163.8412,78.5684,301.3105,6.762648,147.8711,70.91009,271.9408
881,5,Septicaemia,175,"Face Trained Coalmining Workers, Shotfireres & Deputies",6,3.66328,163.7876,60.10733,356.4975,4.190084,143.1952,52.55026,311.6763
6979,39,Cancer of the prostate,107,Pattern Makers (moulds),25,15.27631,163.6521,105.9072,241.5826,15.91345,157.0998,101.6668,231.9101
15989,91,Hypertensive disease,62,Ambulance Staff,9,5.500548,163.6201,74.81801,310.6018,5.698332,157.9409,72.22113,299.8211
14670,84,Parkinson's disease,10,Teachers in Higher Education,33,20.17822,163.5427,112.5754,229.6749,14.4449,228.4543,157.2575,320.8349
14887,85,Motor neuron disease,46,Caterers,19,11.62855,163.3909,98.37165,255.1555,10.26165,185.1553,111.4752,289.1434
21168,119,Other bacterial pneumonia,190,Storekeepers & warehousemen/women,6,3.677263,163.1648,59.87877,355.1418,4.271341,140.4711,51.55055,305.747
12225,70,Amyloidosis,104,Carpenters & Joiners,7,4.291283,163.1214,65.58411,336.093,4.478894,156.2886,62.83693,322.0147
28943,162,Urinary infections,182,Bus & Coach Drivers,14,8.583033,163.1125,89.17477,273.6748,9.203612,152.1142,83.16191,255.2215
26874,151,Other colitis,88,Other coal miners,12,7.362098,162.997,84.22327,284.7232,7.105629,168.8802,87.26321,294.9999
7853,44,Cancer of the kidney (except pelvis),71,Weavers,7,4.302786,162.6853,65.40878,335.1945,4.632197,151.1162,60.75734,311.3576
7790,44,Cancer of the kidney (except pelvis),8,Government administrators,35,21.54523,162.4489,113.1517,225.927,17.42678,200.8403,139.8927,279.32
15770,90,Chronic rheumatic heart disease,24,Literary and Artistic Occupations,21,12.94594,162.213,100.4122,247.9596,11.57731,181.3892,112.2825,277.2724
22216,125,Asthma,145,Sheet Metal Workers,9,5.554714,162.0245,74.08842,307.573,5.948394,151.3013,69.18507,287.217
13484,77,Dementia,96,Printing Machine Minders & Assistants,8,4.945073,161.7772,69.84326,318.7658,5.213538,153.4467,66.24677,302.3513
21471,121,Bronchopneumonia,121,Press Setters & Setter-Operators,7,4.328468,161.72,65.0207,333.2057,4.467177,156.6985,63.00176,322.8594
10243,58,Acute myeloid leukaemia,114,Smiths & Forge Workers,6,3.713947,161.5532,59.28733,351.634,3.901263,153.7963,56.44069,334.7505
4274,24,Cancer of the bronchus,118,"Annealers, Hardeners, Temperers (metal)",49,30.3475,161.4631,119.4514,213.4628,27.93085,175.4332,129.7866,231.9321
10219,58,Acute myeloid leukaemia,84,Ceramics casters,11,6.813302,161.4489,80.59528,288.8761,7.193351,152.919,76.33716,273.6138
9204,52,Non-Hodgkin's lymphoma,172,Sewage plant attendants,9,5.579489,161.3051,73.75945,306.2073,7.422501,121.2529,55.44492,230.1758
24601,138,Pulmonary fibrosis,184,Other motor drivers,12,7.441799,161.2513,83.32125,281.6738,7.68583,156.1315,80.67574,272.7305
20882,118,Pneumoccal and unspecified lobar pneumonia,68,Leather & shoe workers,8,4.96491,161.1308,69.56421,317.4922,4.937168,162.0362,69.95509,319.2762
8566,48,Cancer of the thyroid,60,Other Service Personnel,11,6.829337,161.0698,80.40604,288.1978,8.319722,132.216,66.0022,236.5704
10184,58,Acute myeloid leukaemia,49,Police,27,16.76388,161.0606,106.1401,234.3348,14.61811,184.7024,121.7202,268.7324
7338,41,Cancer of the penis,104,Carpenters & Joiners,6,3.726006,161.0303,59.09546,350.496,3.361854,178.473,65.4966,388.4613
8275,46,Cancer of the brain,141,"Radio, TV & Video Engineers",8,4.972579,160.8823,69.45692,317.0025,5.584086,143.2643,61.85077,282.2879
17805,101,Other cardiomyopathies,68,Leather & shoe workers,10,6.216666,160.8579,77.13782,295.8242,6.529376,153.154,73.44347,281.6563
30635,172,"Infections of skin, joints and bones",47,Farmers,25,15.55183,160.7528,104.0309,237.3027,14.80992,168.8057,109.2423,249.1904
16003,91,Hypertensive disease,76,Bakers,21,13.06453,160.7406,99.50072,245.7088,13.47013,155.9005,96.50465,238.3103
36800,206,Fracture unspecified,58,Security Workers,12,7.467278,160.7011,83.03696,280.7127,6.385134,187.9365,97.10994,328.2875
31610,177,Rheumatoid arthritis,124,Machine Tool Operatives (including CNC machine tool operati,31,19.30062,160.6166,109.1312,227.9824,21.31827,145.4152,98.80259,206.4051
10481,59,Chronic myeloid leukaemia,182,Bus & Coach Drivers,8,4.981125,160.6063,69.33775,316.4586,4.811346,166.2737,71.78449,327.6256
25175,142,Duodenal ulcer,17,Nurses,9,5.604354,160.5894,73.4322,304.8487,6.27058,143.5274,65.63029,272.4597
9181,52,Non-Hodgkin's lymphoma,142,Other Electrical/Electronic Trades nes,52,32.38847,160.5509,119.9072,210.5413,33.60539,154.7371,115.5651,202.9171
1845,11,Cancer of the pharynx (specified),36,Seafarers,9,5.607814,160.4903,73.38689,304.6606,5.898156,152.5901,69.77435,289.6634
27737,156,Cirrhosis (not specified as biliary),45,Publicans and Bar staff,35,21.82178,160.3902,111.7177,223.0638,16.82822,207.984,144.8686,289.2552
3407,19,Cancer of the pancreas,167,Plasterers,39,24.32449,160.3323,114.0119,219.1795,26.24153,148.6194,105.6829,203.1676
28729,161,Renal failure,142,Other Electrical/Electronic Trades nes,22,13.72373,160.3063,100.4632,242.7059,13.98801,157.2775,98.56509,238.1203
1801,10,Cancer of the salivary glands,190,Storekeepers & warehousemen/women,11,6.866691,160.1936,79.96865,286.6301,7.779096,141.4046,70.58918,253.0114
11629,67,Diabetes,46,Caterers,65,40.59041,160.1363,123.5898,204.1068,39.34303,165.2135,127.5082,210.5781
9890,56,Acute lymphatic leukaemia,124,Machine Tool Operatives (including CNC machine tool operati,7,4.37233,160.0977,64.36843,329.863,5.138257,136.233,54.77344,280.6925
18601,105,Other cerebrovascular disease,151,Jewellery workers,27,16.87048,160.0429,105.4695,232.8541,17.22554,156.744,103.2955,228.0544
27694,156,Cirrhosis (not specified as biliary),2,Accountants and Financial Managers,36,22.49853,160.0105,112.0696,221.522,17.01016,211.6382,148.2291,292.9967
11744,67,Diabetes,178,Railway signal workers,15,9.374983,160.0003,89.55109,263.8959,9.864394,152.062,85.10812,250.803
17977,102,Atrial fibrillation,59,Cooks and Kitchen Porters,8,5.003828,159.8776,69.02316,315.0228,4.929251,162.2965,70.06744,319.7889
18364,104,Sub-arachnoid haemorrhage,84,Ceramics casters,9,5.642513,159.5034,72.93559,302.7871,6.03502,149.1296,68.19199,283.0943
41121,999,Unspecified Group,35,Air Traffic Controllers,16,10.03205,159.4889,91.16186,259.0,10.10072,158.4046,90.54209,257.2392
4480,25,Cancer of the pleura,147,Steel Erectors,10,6.27159,159.4492,76.46227,293.2335,4.390356,227.772,109.2258,418.8818
29455,165,Hyperplasia of prostate,144,"Plumbers, Heating & Ventilating Engineers & Related Trades",7,4.390121,159.4489,64.10757,328.5262,4.404333,158.9344,63.90071,327.4662
16091,91,Hypertensive disease,181,Road transport inspectors,8,5.020874,159.3348,68.78883,313.9533,5.169066,154.7668,66.81671,304.9526
2496,14,Cancer of the small intestine,160,Painters & Decorators,8,5.021615,159.3113,68.77867,313.907,5.492148,145.6625,62.88614,287.0134
2333,13,Cancer of the stomach,179,Shunters & points operatives,11,6.907468,159.2479,79.49657,284.938,6.442506,170.741,85.23391,305.5022
17942,102,Atrial fibrillation,24,Literary and Artistic Occupations,14,8.79258,159.2252,87.04954,267.1525,8.896095,157.3724,86.03662,264.0439
15032,86,Multiple sclerosis,10,Teachers in Higher Education,7,4.396643,159.2124,64.01247,328.0389,3.014239,232.2311,93.37017,478.4856
2291,13,Cancer of the stomach,127,Fettler,16,10.0502,159.2009,90.99723,258.5323,9.099504,175.8338,100.5044,285.543
2928,17,Cancer of the liver,33,Architects and Surveyors,41,25.75649,159.1832,114.2326,215.9498,19.41327,211.1957,151.5576,286.5107
815,5,Septicaemia,97,Printers,11,6.911147,159.1632,79.45425,284.7863,7.906774,139.1212,69.44931,248.9258
25999,146,Appendicitis,124,Machine Tool Operatives (including CNC machine tool operati,7,4.398399,159.1488,63.98692,327.9079,5.14459,136.0653,54.70601,280.3469
12716,73,Aplastic anaemia,47,Farmers,10,6.284895,159.1116,76.3004,292.6127,6.321778,158.1833,75.85525,290.9055
16708,95,Cor pulmonale,57,Sales Representatives,12,7.542821,159.0917,82.20531,277.9013,9.483269,126.5386,65.38462,221.0377
8196,46,Cancer of the brain,52,Hairdressers,8,5.029402,159.0646,68.67218,313.421,4.745625,168.5763,72.77861,332.1628
20631,116,Acute bronchitis,197,Other Transport and Machine Operatives,6,3.772644,159.0396,58.3649,346.1631,3.156919,190.0587,69.74839,413.6787
3319,19,Cancer of the pancreas,62,Ambulance Staff,20,12.57748,159.0144,97.12997,245.585,13.6036,147.0199,89.80341,227.0604
40484,226,Suicide,129,"Tool Makers, Tool Fitters & Markers-Out",20,12.58246,158.9515,97.09153,245.4878,13.62139,146.8279,89.68616,226.764
2178,13,Cancer of the stomach,7,Government Inspectors,25,15.72985,158.9335,102.8535,234.617,17.81213,140.3538,90.82969,207.1897
31667,177,Rheumatoid arthritis,191,Dockers and Goods Porters,8,5.036226,158.8491,68.57913,312.9963,5.843167,136.912,59.10836,269.7715
7630,43,Urothelial cancer,29,Electrical and Electronic Engineers (professional),17,10.70581,158.7923,92.50214,254.2415,10.79247,157.5172,91.75935,252.1999
17564,100,Aortic valve disorders,8,Government administrators,17,10.71224,158.6969,92.44658,254.0888,9.689376,175.4499,102.2057,280.9118
19078,108,Peripheral valve disease,74,Other Textile Processing Operatives,10,6.304133,158.6261,76.06755,291.7197,5.817214,171.9036,82.43465,316.1376
32369,181,Motor vehicle traffic accidents,169,"Builders, Building Contractors",25,15.77979,158.4305,102.528,233.8745,18.50158,135.1236,87.44495,199.4689
21529,121,Bronchopneumonia,189,Slingers,17,10.73426,158.3714,92.25696,253.5676,11.08573,153.3503,89.33196,245.5283
7927,44,Cancer of the kidney (except pelvis),161,Assemblers/Lineworkers (electrical/electronic goods),11,6.948853,158.2995,79.02312,283.241,7.695251,142.9453,71.35829,255.7681
10069,57,Chronic lymphatic leukaemia,122,"Centre, Capstan, Turret & Other Lathe Setters & Setter-Oper",7,4.427553,158.1009,63.56559,325.7488,4.88908,143.1762,57.56502,294.9982
9437,54,Myeloma,26,Biological scientists,7,4.428601,158.0634,63.55054,325.6717,3.029903,231.0305,92.88746,476.0119
5189,29,Cancer of soft tissue,129,"Tool Makers, Tool Fitters & Markers-Out",8,5.064298,157.9686,68.19899,311.2613,5.263955,151.977,65.61227,299.4555
5078,29,Cancer of soft tissue,11,School Teachers,15,9.496871,157.9468,88.40175,260.509,7.14029,210.0755,117.5779,346.4873
15879,90,Chronic rheumatic heart disease,143,Electrical Engineers (not professional),13,8.230685,157.9455,84.09993,270.0917,8.794835,147.814,78.70528,252.7665
22219,125,Asthma,148,"Scaffolders, Stagers, Steeplejacks, Riggers",6,3.799604,157.9112,57.95077,343.7068,3.527583,170.0881,62.4195,370.211
28406,159,Pancreatitis,188,Fork Lift & Mechanical Truck Drivers,8,5.066724,157.8929,68.16634,311.1123,5.233534,152.8604,65.99365,301.1961
18283,104,Sub-arachnoid haemorrhage,3,Personnel Managers etc,14,8.87082,157.8208,86.28177,264.7963,6.973502,200.76,109.7569,336.8408
5849,33,Cancer of the male breast,58,Security Workers,6,3.802946,157.7724,57.89985,343.4048,3.725003,161.0737,59.11136,350.5903
14795,84,Parkinson's disease,145,Sheet Metal Workers,18,11.41862,157.6373,93.42551,249.1353,13.12606,137.1318,81.2727,216.7277
3273,19,Cancer of the pancreas,16,Dentists,12,7.613261,157.6197,81.44473,275.3301,5.466038,219.5374,113.4387,383.488
24643,139,Fibrosing alveolitis,28,Physical Scientists & mathematicians,7,4.441783,157.5944,63.36195,324.7052,3.350629,208.916,83.99618,430.4476
