Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
,,,"[0]476, [8]263, 264-265, 266-267, 248, [9]263, 264-265, 266-267, 268",[0]C45,,,,,
W,F,65-90,RETAIL SALESPERSONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]476, [8]263, 264-265, 266-267, 248, [9]263, 264-265, 266-267, 268",[0]C45,,,,,
W,M,65-90,RETAIL SALESPERSONS,MN MESOTHELIOMA (no codes before 1999),42,5,p<0.05,14,98
,,,"[0]476, [8]263, 264-265, 266-267, 248, [9]263, 264-265, 266-267, 268",[0]C45,,,,,
B,F,65-90,PARTS SALESPERSONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]475, [8]269, [9]269",[0]C45,,,,,
B,M,65-90,PARTS SALESPERSONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]475, [8]269, [9]269",[0]C45,,,,,
W,F,65-90,PARTS SALESPERSONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]475, [8]269, [9]269",[0]C45,,,,,
W,M,65-90,PARTS SALESPERSONS,MN MESOTHELIOMA (no codes before 1999),226,<5,,27,817
,,,"[0]475, [8]269, [9]269",[0]C45,,,,,
B,F,65-90,"SALESPERSONS, OTHER COMMODITIES",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]406, 494, [8]274, [9]274",[0]C45,,,,,
B,M,65-90,"SALESPERSONS, OTHER COMMODITIES",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]406, 494, [8]274, [9]274",[0]C45,,,,,
W,F,65-90,"SALESPERSONS, OTHER COMMODITIES",MN MESOTHELIOMA (no codes before 1999),121,6,,44,263
,,,"[0]406, 494, [8]274, [9]274",[0]C45,,,,,
W,M,65-90,"SALESPERSONS, OTHER COMMODITIES",MN MESOTHELIOMA (no codes before 1999),78,7,,31,161
,,,"[0]406, 494, [8]274, [9]274",[0]C45,,,,,
B,F,65-90,CASHIERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]472, [8]276, [9]276",[0]C45,,,,,
B,M,65-90,CASHIERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]472, [8]276, [9]276",[0]C45,,,,,
W,F,65-90,CASHIERS,MN MESOTHELIOMA (no codes before 1999),101,<5,,12,366
,,,"[0]472, [8]276, [9]276",[0]C45,,,,,
W,M,65-90,CASHIERS,MN MESOTHELIOMA (no codes before 1999),84,<5,,2,466
,,,"[0]472, [8]276, [9]276",[0]C45,,,,,
B,F,65-90,OTHER SALES RELATED OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]490-496, [8]277-285, [9]277-285",[0]C45,,,,,
B,M,65-90,OTHER SALES RELATED OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]490-496, [8]277-285, [9]277-285",[0]C45,,,,,
W,F,65-90,OTHER SALES RELATED OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]490-496, [8]277-285, [9]277-285",[0]C45,,,,,
W,M,65-90,OTHER SALES RELATED OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]490-496, [8]277-285, [9]277-285",[0]C45,,,,,
B,F,65-90,OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),232,<5,,6,1293
,,,"[0]500-593, 483, [8]303-389, [9]303-386",[0]C45,,,,,
B,M,65-90,OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]500-593, 483, [8]303-389, [9]303-386",[0]C45,,,,,
W,F,65-90,OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),97,35,,68,136
,,,"[0]500-593, 483, [8]303-389, [9]303-386",[0]C45,,,,,
W,M,65-90,OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),90,36,,63,125
,,,"[0]500-593, 483, [8]303-389, [9]303-386",[0]C45,,,,,
B,F,65-90,"SUPERVISORS, OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]500, [8]303-307, [9]303-307",[0]C45,,,,,
B,M,65-90,"SUPERVISORS, OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]500, [8]303-307, [9]303-307",[0]C45,,,,,
W,F,65-90,"SUPERVISORS, OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS",MN MESOTHELIOMA (no codes before 1999),207,<5,,43,604
,,,"[0]500, [8]303-307, [9]303-307",[0]C45,,,,,
W,M,65-90,"SUPERVISORS, OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS",MN MESOTHELIOMA (no codes before 1999),98,<5,,27,251
,,,"[0]500, [8]303-307, [9]303-307",[0]C45,,,,,
B,F,65-90,COMPUTER EQUIPMENT OPERATORS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]580, [8]308, 309, [9]308, 309",[0]C45,,,,,
B,M,65-90,COMPUTER EQUIPMENT OPERATORS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]580, [8]308, 309, [9]308, 309",[0]C45,,,,,
W,F,65-90,COMPUTER EQUIPMENT OPERATORS,MN MESOTHELIOMA (no codes before 1999),334,<5,,8,1858
,,,"[0]580, [8]308, 309, [9]308, 309",[0]C45,,,,,
W,M,65-90,COMPUTER EQUIPMENT OPERATORS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]580, [8]308, 309, [9]308, 309",[0]C45,,,,,
B,F,65-90,"SECRETARIES, STENOGRAPHERS, & TYPISTS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]570, 582, 593, [8]313-315, [9]313-315",[0]C45,,,,,
B,M,65-90,"SECRETARIES, STENOGRAPHERS, & TYPISTS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]570, 582, 593, [8]313-315, [9]313-315",[0]C45,,,,,
W,F,65-90,"SECRETARIES, STENOGRAPHERS, & TYPISTS",MN MESOTHELIOMA (no codes before 1999),79,11,,40,142
,,,"[0]570, 582, 593, [8]313-315, [9]313-315",[0]C45,,,,,
W,M,65-90,"SECRETARIES, STENOGRAPHERS, & TYPISTS",MN MESOTHELIOMA (no codes before 1999),102,<5,,3,567
,,,"[0]570, 582, 593, [8]313-315, [9]313-315",[0]C45,,,,,
B,F,65-90,SECRETARIES,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]570, [8]313, [9]313",[0]C45,,,,,
B,M,65-90,SECRETARIES,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]570, [8]313, [9]313",[0]C45,,,,,
W,F,65-90,SECRETARIES,MN MESOTHELIOMA (no codes before 1999),75,10,,36,139
,,,"[0]570, [8]313, [9]313",[0]C45,,,,,
W,M,65-90,SECRETARIES,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]570, [8]313, [9]313",[0]C45,,,,,
B,F,65-90,INFORMATION CLERKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]181, 523, 531, 534, 540, [8]316-323, [9]316-323",[0]C45,,,,,
B,M,65-90,INFORMATION CLERKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]181, 523, 531, 534, 540, [8]316-323, [9]316-323",[0]C45,,,,,
W,F,65-90,INFORMATION CLERKS,MN MESOTHELIOMA (no codes before 1999),66,<5,,2,366
,,,"[0]181, 523, 531, 534, 540, [8]316-323, [9]316-323",[0]C45,,,,,
W,M,65-90,INFORMATION CLERKS,MN MESOTHELIOMA (no codes before 1999),188,<5,,23,678
,,,"[0]181, 523, 531, 534, 540, [8]316-323, [9]316-323",[0]C45,,,,,
B,F,65-90,HOTEL CLERKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]530, [8]317, [9]317",[0]C45,,,,,
B,M,65-90,HOTEL CLERKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]530, [8]317, [9]317",[0]C45,,,,,
W,F,65-90,HOTEL CLERKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]530, [8]317, [9]317",[0]C45,,,,,
W,M,65-90,HOTEL CLERKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]530, [8]317, [9]317",[0]C45,,,,,
B,F,65-90,"TRAVEL, TICKET AND RESERVATION AGENTS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]483, 541, [8]318, [9]318",[0]C45,,,,,
B,M,65-90,"TRAVEL, TICKET AND RESERVATION AGENTS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]483, 541, [8]318, [9]318",[0]C45,,,,,
W,F,65-90,"TRAVEL, TICKET AND RESERVATION AGENTS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]483, 541, [8]318, [9]318",[0]C45,,,,,
W,M,65-90,"TRAVEL, TICKET AND RESERVATION AGENTS",MN MESOTHELIOMA (no codes before 1999),105,<5,,3,584
,,,"[0]483, 541, [8]318, [9]318",[0]C45,,,,,
B,F,65-90,RECEPTIONISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]540, [8]319, [9]319",[0]C45,,,,,
B,M,65-90,RECEPTIONISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]540, [8]319, [9]319",[0]C45,,,,,
W,F,65-90,RECEPTIONISTS,MN MESOTHELIOMA (no codes before 1999),94,<5,,2,522
,,,"[0]540, [8]319, [9]319",[0]C45,,,,,
W,M,65-90,RECEPTIONISTS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]540, [8]319, [9]319",[0]C45,,,,,
B,F,65-90,INFORMATION AND RECORD CLERKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]520-542, [8]325-336, [9]325-336",[0]C45,,,,,
B,M,65-90,INFORMATION AND RECORD CLERKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]520-542, [8]325-336, [9]325-336",[0]C45,,,,,
W,F,65-90,INFORMATION AND RECORD CLERKS,MN MESOTHELIOMA (no codes before 1999),158,<5,,19,571
,,,"[0]520-542, [8]325-336, [9]325-336",[0]C45,,,,,
W,M,65-90,INFORMATION AND RECORD CLERKS,MN MESOTHELIOMA (no codes before 1999),50,<5,,1,276
,,,"[0]520-542, [8]325-336, [9]325-336",[0]C45,,,,,
B,F,65-90,FINANCIAL CLERKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]500, 511-512, 514, [8]305, 337-344, [9]305, 337-344",[0]C45,,,,,
B,M,65-90,FINANCIAL CLERKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]500, 511-512, 514, [8]305, 337-344, [9]305, 337-344",[0]C45,,,,,
W,F,65-90,FINANCIAL CLERKS,MN MESOTHELIOMA (no codes before 1999),138,10,,66,254
,,,"[0]500, 511-512, 514, [8]305, 337-344, [9]305, 337-344",[0]C45,,,,,
W,M,65-90,FINANCIAL CLERKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]500, 511-512, 514, [8]305, 337-344, [9]305, 337-344",[0]C45,,,,,
B,F,65-90,"DUPLICATING, MAIL & OTHER OFFICE MACHINE OPERATORS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]585-590, [8]345-347, [9]345-347",[0]C45,,,,,
B,M,65-90,"DUPLICATING, MAIL & OTHER OFFICE MACHINE OPERATORS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]585-590, [8]345-347, [9]345-347",[0]C45,,,,,
W,F,65-90,"DUPLICATING, MAIL & OTHER OFFICE MACHINE OPERATORS",MN MESOTHELIOMA (no codes before 1999),307,<5,,63,897
,,,"[0]585-590, [8]345-347, [9]345-347",[0]C45,,,,,
W,M,65-90,"DUPLICATING, MAIL & OTHER OFFICE MACHINE OPERATORS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]585-590, [8]345-347, [9]345-347",[0]C45,,,,,
B,F,65-90,COMMUNICATIONS EQUIPMENT OPERATORS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]501-503, [8]306, 348-353, [9]306, 348-353",[0]C45,,,,,
B,M,65-90,COMMUNICATIONS EQUIPMENT OPERATORS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]501-503, [8]306, 348-353, [9]306, 348-353",[0]C45,,,,,
W,F,65-90,COMMUNICATIONS EQUIPMENT OPERATORS,MN MESOTHELIOMA (no codes before 1999),51,<5,,1,287
,,,"[0]501-503, [8]306, 348-353, [9]306, 348-353",[0]C45,,,,,
W,M,65-90,COMMUNICATIONS EQUIPMENT OPERATORS,MN MESOTHELIOMA (no codes before 1999),184,<5,,5,1023
,,,"[0]501-503, [8]306, 348-353, [9]306, 348-353",[0]C45,,,,,
B,F,65-90,"COURIER, CLERKS, POSTAL SERVICE & CARRIES",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]551, 554-556, 585, [8]354-357, [9]354-357",[0]C45,,,,,
B,M,65-90,"COURIER, CLERKS, POSTAL SERVICE & CARRIES",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]551, 554-556, 585, [8]354-357, [9]354-357",[0]C45,,,,,
W,F,65-90,"COURIER, CLERKS, POSTAL SERVICE & CARRIES",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]551, 554-556, 585, [8]354-357, [9]354-357",[0]C45,,,,,
W,M,65-90,"COURIER, CLERKS, POSTAL SERVICE & CARRIES",MN MESOTHELIOMA (no codes before 1999),77,9,,35,145
,,,"[0]551, 554-556, 585, [8]354-357, [9]354-357",[0]C45,,,,,
B,F,65-90,"SHIPPING & RECEIVING, SCHEDULING, & DISTRIBUTING CLERKS",MN MESOTHELIOMA (no codes before 1999),3268,<5,,82,18209
,,,"[0]515, 550, 552-553, 560-563, 860, [8]359-374, [9]359-374",[0]C45,,,,,
B,M,65-90,"SHIPPING & RECEIVING, SCHEDULING, & DISTRIBUTING CLERKS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]515, 550, 552-553, 560-563, 860, [8]359-374, [9]359-374",[0]C45,,,,,
W,F,65-90,"SHIPPING & RECEIVING, SCHEDULING, & DISTRIBUTING CLERKS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]515, 550, 552-553, 560-563, 860, [8]359-374, [9]359-374",[0]C45,,,,,
W,M,65-90,"SHIPPING & RECEIVING, SCHEDULING, & DISTRIBUTING CLERKS",MN MESOTHELIOMA (no codes before 1999),93,10,,45,171
,,,"[0]515, 550, 552-553, 560-563, 860, [8]359-374, [9]359-374",[0]C45,,,,,
B,F,65-90,ADJUSTERS & INVESTIGATORS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]054, 510, 523-525, 533, 584, [8]375-378, [9]375-378",[0]C45,,,,,
B,M,65-90,ADJUSTERS & INVESTIGATORS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]054, 510, 523-525, 533, 584, [8]375-378, [9]375-378",[0]C45,,,,,
W,F,65-90,ADJUSTERS & INVESTIGATORS,MN MESOTHELIOMA (no codes before 1999),96,<5,,2,538
,,,"[0]054, 510, 523-525, 533, 584, [8]375-378, [9]375-378",[0]C45,,,,,
W,M,65-90,ADJUSTERS & INVESTIGATORS,MN MESOTHELIOMA (no codes before 1999),144,<5,,39,369
,,,"[0]054, 510, 523-525, 533, 584, [8]375-378, [9]375-378",[0]C45,,,,,
B,F,65-90,OTHER OFFICE AND ADMINISTRATIVE SUPPORT OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]104, 254, 516, 522, 540, 581, 586, 591-593, [8]379-389, [9]379-389",[0]C45,,,,,
B,M,65-90,OTHER OFFICE AND ADMINISTRATIVE SUPPORT OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]104, 254, 516, 522, 540, 581, 586, 591-593, [8]379-389, [9]379-389",[0]C45,,,,,
W,F,65-90,OTHER OFFICE AND ADMINISTRATIVE SUPPORT OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),124,10,,59,228
,,,"[0]104, 254, 516, 522, 540, 581, 586, 591-593, [8]379-389, [9]379-389",[0]C45,,,,,
W,M,65-90,OTHER OFFICE AND ADMINISTRATIVE SUPPORT OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),113,6,,42,246
,,,"[0]104, 254, 516, 522, 540, 581, 586, 591-593, [8]379-389, [9]379-389",[0]C45,,,,,
B,F,65-90,GENERAL OFFICE CLERKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]586, [8]379, [9]379",[0]C45,,,,,
B,M,65-90,GENERAL OFFICE CLERKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]586, [8]379, [9]379",[0]C45,,,,,
W,F,65-90,GENERAL OFFICE CLERKS,MN MESOTHELIOMA (no codes before 1999),164,8,,71,324
,,,"[0]586, [8]379, [9]379",[0]C45,,,,,
W,M,65-90,GENERAL OFFICE CLERKS,MN MESOTHELIOMA (no codes before 1999),166,6,,61,362
,,,"[0]586, [8]379, [9]379",[0]C45,,,,,
B,F,65-90,BANK TELLERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]516, [8]383, [9]383",[0]C45,,,,,
B,M,65-90,BANK TELLERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]516, [8]383, [9]383",[0]C45,,,,,
W,F,65-90,BANK TELLERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]516, [8]383, [9]383",[0]C45,,,,,
W,M,65-90,BANK TELLERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]516, [8]383, [9]383",[0]C45,,,,,
B,F,65-90,COMPUTER EQUIPMENT OPERATORS AND DATA ENTRY KEYERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]500, 580-583, [8]304, 308, 309, 385, [9]304, 308, 309, 385",[0]C45,,,,,
B,M,65-90,COMPUTER EQUIPMENT OPERATORS AND DATA ENTRY KEYERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]500, 580-583, [8]304, 308, 309, 385, [9]304, 308, 309, 385",[0]C45,,,,,
W,F,65-90,COMPUTER EQUIPMENT OPERATORS AND DATA ENTRY KEYERS,MN MESOTHELIOMA (no codes before 1999),150,<5,,18,540
,,,"[0]500, 580-583, [8]304, 308, 309, 385, [9]304, 308, 309, 385",[0]C45,,,,,
W,M,65-90,COMPUTER EQUIPMENT OPERATORS AND DATA ENTRY KEYERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]500, 580-583, [8]304, 308, 309, 385, [9]304, 308, 309, 385",[0]C45,,,,,
B,F,65-90,"ALL SERVICE OCCUPATIONS, EXC PROTECTIVE & PRIVATE HOUSEHOLDS",MN MESOTHELIOMA (no codes before 1999),110,<5,,13,397
,,,"[0]254, 360-364, 400-406, 411-416, 420, 422-424, 430-432, 440-446, 911, [8]433-469, [9]433-469",[0]C45,,,,,
B,M,65-90,"ALL SERVICE OCCUPATIONS, EXC PROTECTIVE & PRIVATE HOUSEHOLDS",MN MESOTHELIOMA (no codes before 1999),187,5,,61,436
,,,"[0]254, 360-364, 400-406, 411-416, 420, 422-424, 430-432, 440-446, 911, [8]433-469, [9]433-469",[0]C45,,,,,
W,F,65-90,"ALL SERVICE OCCUPATIONS, EXC PROTECTIVE & PRIVATE HOUSEHOLDS",MN MESOTHELIOMA (no codes before 1999),69,15,,39,114
,,,"[0]254, 360-364, 400-406, 411-416, 420, 422-424, 430-432, 440-446, 911, [8]433-469, [9]433-469",[0]C45,,,,,
W,M,65-90,"ALL SERVICE OCCUPATIONS, EXC PROTECTIVE & PRIVATE HOUSEHOLDS",MN MESOTHELIOMA (no codes before 1999),66,26,p<0.05,43,97
,,,"[0]254, 360-364, 400-406, 411-416, 420, 422-424, 430-432, 440-446, 911, [8]433-469, [9]433-469",[0]C45,,,,,
B,F,65-90,PRIVATE HOUSEHOLD OCCUPATIONS (see industry codes),MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[8]403-407, [9]403-407",[0]C45,,,,,
B,M,65-90,PRIVATE HOUSEHOLD OCCUPATIONS (see industry codes),MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[8]403-407, [9]403-407",[0]C45,,,,,
W,F,65-90,PRIVATE HOUSEHOLD OCCUPATIONS (see industry codes),MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[8]403-407, [9]403-407",[0]C45,,,,,
W,M,65-90,PRIVATE HOUSEHOLD OCCUPATIONS (see industry codes),MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[8]403-407, [9]403-407",[0]C45,,,,,
B,F,65-90,LAUNDERERS & IRONERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]830-831, [8]403, [9]403",[0]C45,,,,,
B,M,65-90,LAUNDERERS & IRONERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]830-831, [8]403, [9]403",[0]C45,,,,,
W,F,65-90,LAUNDERERS & IRONERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]830-831, [8]403, [9]403",[0]C45,,,,,
W,M,65-90,LAUNDERERS & IRONERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]830-831, [8]403, [9]403",[0]C45,,,,,
B,F,65-90,COOKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]402, [8]404, [9]404",[0]C45,,,,,
B,M,65-90,COOKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]402, [8]404, [9]404",[0]C45,,,,,
W,F,65-90,COOKS,MN MESOTHELIOMA (no codes before 1999),237,<5,,29,855
,,,"[0]402, [8]404, [9]404",[0]C45,,,,,
W,M,65-90,COOKS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]402, [8]404, [9]404",[0]C45,,,,,
B,F,65-90,HOUSEKEEPERS & BUTLERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]465, [8]405, [9]405",[0]C45,,,,,
B,M,65-90,HOUSEKEEPERS & BUTLERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]465, [8]405, [9]405",[0]C45,,,,,
W,F,65-90,HOUSEKEEPERS & BUTLERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]465, [8]405, [9]405",[0]C45,,,,,
W,M,65-90,HOUSEKEEPERS & BUTLERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]465, [8]405, [9]405",[0]C45,,,,,
B,F,65-90,"CHILD CARE WORKERS, PRIVATE HOUSEHOLD",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]460, [8]406, [9]406",[0]C45,,,,,
B,M,65-90,"CHILD CARE WORKERS, PRIVATE HOUSEHOLD",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]460, [8]406, [9]406",[0]C45,,,,,
W,F,65-90,"CHILD CARE WORKERS, PRIVATE HOUSEHOLD",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]460, [8]406, [9]406",[0]C45,,,,,
W,M,65-90,"CHILD CARE WORKERS, PRIVATE HOUSEHOLD",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]460, [8]406, [9]406",[0]C45,,,,,
B,F,65-90,PERSONAL CARE AND SERVICE AND HOME CARE AIDES,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]461, 465, [8]407, [9]407",[0]C45,,,,,
B,M,65-90,PERSONAL CARE AND SERVICE AND HOME CARE AIDES,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]461, 465, [8]407, [9]407",[0]C45,,,,,
W,F,65-90,PERSONAL CARE AND SERVICE AND HOME CARE AIDES,MN MESOTHELIOMA (no codes before 1999),64,<5,,2,359
,,,"[0]461, 465, [8]407, [9]407",[0]C45,,,,,
W,M,65-90,PERSONAL CARE AND SERVICE AND HOME CARE AIDES,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]461, 465, [8]407, [9]407",[0]C45,,,,,
B,F,65-90,PROTECTIVE SERVICE OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]370-375, 380-386, 390-395, [8]006, 413-427, [9]006, 413-427",[0]C45,,,,,
B,M,65-90,PROTECTIVE SERVICE OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]370-375, 380-386, 390-395, [8]006, 413-427, [9]006, 413-427",[0]C45,,,,,
W,F,65-90,PROTECTIVE SERVICE OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),265,<5,,32,957
,,,"[0]370-375, 380-386, 390-395, [8]006, 413-427, [9]006, 413-427",[0]C45,,,,,
W,M,65-90,PROTECTIVE SERVICE OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),90,23,,57,135
,,,"[0]370-375, 380-386, 390-395, [8]006, 413-427, [9]006, 413-427",[0]C45,,,,,
B,F,65-90,"SUPERVISORS, PROTECTIVE SERVICE OCCUPATIONS INCL ADMINISTRATORS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]370-373, [8]413-415, [9]413-415",[0]C45,,,,,
B,M,65-90,"SUPERVISORS, PROTECTIVE SERVICE OCCUPATIONS INCL ADMINISTRATORS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]370-373, [8]413-415, [9]413-415",[0]C45,,,,,
W,F,65-90,"SUPERVISORS, PROTECTIVE SERVICE OCCUPATIONS INCL ADMINISTRATORS",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]370-373, [8]413-415, [9]413-415",[0]C45,,,,,
W,M,65-90,"SUPERVISORS, PROTECTIVE SERVICE OCCUPATIONS INCL ADMINISTRATORS",MN MESOTHELIOMA (no codes before 1999),174,<5,,47,445
,,,"[0]370-373, [8]413-415, [9]413-415",[0]C45,,,,,
B,F,65-90,FIREFIGHTERS & PREVENTION WORKERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]372, 374-375, [8]413, 416, 417, [9]413, 416, 417",[0]C45,,,,,
B,M,65-90,FIREFIGHTERS & PREVENTION WORKERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]372, 374-375, [8]413, 416, 417, [9]413, 416, 417",[0]C45,,,,,
W,F,65-90,FIREFIGHTERS & PREVENTION WORKERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]372, 374-375, [8]413, 416, 417, [9]413, 416, 417",[0]C45,,,,,
W,M,65-90,FIREFIGHTERS & PREVENTION WORKERS,MN MESOTHELIOMA (no codes before 1999),62,<5,,13,180
,,,"[0]372, 374-375, [8]413, 416, 417, [9]413, 416, 417",[0]C45,,,,,
B,F,65-90,FIRE INSPECTORS & FIRE PREVENTION WORKERS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]375, [8]416, [9]416",[0]C45,,,,,
