Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
W,F,65-90,LICENSED PRACTICAL NURSES (LPN),ASBESTOSIS,0,<5,,,
,,,"[0]350, [8]207, [9]207","[0]J61, [9]501",,,,,
W,M,65-90,LICENSED PRACTICAL NURSES (LPN),ASBESTOSIS,0,<5,,,
,,,"[0]350, [8]207, [9]207","[0]J61, [9]501",,,,,
B,F,65-90,EMERGENCY MEDICAL TECHS (EMTS) AND PARAMEDICS,ASBESTOSIS,0,<5,,,
,,,[0]340,"[0]J61, [9]501",,,,,
B,M,65-90,EMERGENCY MEDICAL TECHS (EMTS) AND PARAMEDICS,ASBESTOSIS,0,<5,,,
,,,[0]340,"[0]J61, [9]501",,,,,
W,F,65-90,EMERGENCY MEDICAL TECHS (EMTS) AND PARAMEDICS,ASBESTOSIS,0,<5,,,
,,,[0]340,"[0]J61, [9]501",,,,,
W,M,65-90,EMERGENCY MEDICAL TECHS (EMTS) AND PARAMEDICS,ASBESTOSIS,0,<5,,,
,,,[0]340,"[0]J61, [9]501",,,,,
B,F,65-90,"HEALTH TECHNOLOGISTS & TECHNICIANS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]352, 341, 353-354, 365, 876, [8]208, [9]208","[0]J61, [9]501",,,,,
B,M,65-90,"HEALTH TECHNOLOGISTS & TECHNICIANS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]352, 341, 353-354, 365, 876, [8]208, [9]208","[0]J61, [9]501",,,,,
W,F,65-90,"HEALTH TECHNOLOGISTS & TECHNICIANS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]352, 341, 353-354, 365, 876, [8]208, [9]208","[0]J61, [9]501",,,,,
W,M,65-90,"HEALTH TECHNOLOGISTS & TECHNICIANS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]352, 341, 353-354, 365, 876, [8]208, [9]208","[0]J61, [9]501",,,,,
B,F,65-90,PHYSICAL & OCCUPATIONAL THERAPISTS,ASBESTOSIS,0,<5,,,
,,,"[0]315-316, 361, [8]099, 103, [9]099, 103","[0]J61, [9]501",,,,,
B,M,65-90,PHYSICAL & OCCUPATIONAL THERAPISTS,ASBESTOSIS,0,<5,,,
,,,"[0]315-316, 361, [8]099, 103, [9]099, 103","[0]J61, [9]501",,,,,
W,F,65-90,PHYSICAL & OCCUPATIONAL THERAPISTS,ASBESTOSIS,0,<5,,,
,,,"[0]315-316, 361, [8]099, 103, [9]099, 103","[0]J61, [9]501",,,,,
W,M,65-90,PHYSICAL & OCCUPATIONAL THERAPISTS,ASBESTOSIS,0,<5,,,
,,,"[0]315-316, 361, [8]099, 103, [9]099, 103","[0]J61, [9]501",,,,,
B,F,65-90,ENGINEERING & SURVEYING & MAPPING TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]155-156, [8]213-218, [9]213-218","[0]J61, [9]501",,,,,
B,M,65-90,ENGINEERING & SURVEYING & MAPPING TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]155-156, [8]213-218, [9]213-218","[0]J61, [9]501",,,,,
W,F,65-90,ENGINEERING & SURVEYING & MAPPING TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]155-156, [8]213-218, [9]213-218","[0]J61, [9]501",,,,,
W,M,65-90,ENGINEERING & SURVEYING & MAPPING TECHNICIANS,ASBESTOSIS,168,<5,,46,430
,,,"[0]155-156, [8]213-218, [9]213-218","[0]J61, [9]501",,,,,
B,F,65-90,ELECTRICAL & ELECTRONIC TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]155, 296, [8]213, [9]213","[0]J61, [9]501",,,,,
B,M,65-90,ELECTRICAL & ELECTRONIC TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]155, 296, [8]213, [9]213","[0]J61, [9]501",,,,,
W,F,65-90,ELECTRICAL & ELECTRONIC TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]155, 296, [8]213, [9]213","[0]J61, [9]501",,,,,
W,M,65-90,ELECTRICAL & ELECTRONIC TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]155, 296, [8]213, [9]213","[0]J61, [9]501",,,,,
B,F,65-90,ENGINEERING TECHNICIANS (Except drafters),ASBESTOSIS,0,<5,,,
,,,"[0]155, [8]214, [9]214, 215, 216","[0]J61, [9]501",,,,,
B,M,65-90,ENGINEERING TECHNICIANS (Except drafters),ASBESTOSIS,0,<5,,,
,,,"[0]155, [8]214, [9]214, 215, 216","[0]J61, [9]501",,,,,
W,F,65-90,ENGINEERING TECHNICIANS (Except drafters),ASBESTOSIS,0,<5,,,
,,,"[0]155, [8]214, [9]214, 215, 216","[0]J61, [9]501",,,,,
W,M,65-90,ENGINEERING TECHNICIANS (Except drafters),ASBESTOSIS,507,<5,p<0.05,138,1299
,,,"[0]155, [8]214, [9]214, 215, 216","[0]J61, [9]501",,,,,
B,F,65-90,DRAFTING OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]154, [8]217, [9]217","[0]J61, [9]501",,,,,
B,M,65-90,DRAFTING OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]154, [8]217, [9]217","[0]J61, [9]501",,,,,
W,F,65-90,DRAFTING OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]154, [8]217, [9]217","[0]J61, [9]501",,,,,
W,M,65-90,DRAFTING OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]154, [8]217, [9]217","[0]J61, [9]501",,,,,
B,F,65-90,SURVEYORS & MAPPING TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]131, 156, [8]063, 218, [9]063, 218","[0]J61, [9]501",,,,,
B,M,65-90,SURVEYORS & MAPPING TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]131, 156, [8]063, 218, [9]063, 218","[0]J61, [9]501",,,,,
W,F,65-90,SURVEYORS & MAPPING TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]131, 156, [8]063, 218, [9]063, 218","[0]J61, [9]501",,,,,
W,M,65-90,SURVEYORS & MAPPING TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]131, 156, [8]063, 218, [9]063, 218","[0]J61, [9]501",,,,,
B,F,65-90,AGRICULTURAL & FOOD SCIENCE TECH,ASBESTOSIS,0,<5,,,
,,,[0]190,"[0]J61, [9]501",,,,,
B,M,65-90,AGRICULTURAL & FOOD SCIENCE TECH,ASBESTOSIS,0,<5,,,
,,,[0]190,"[0]J61, [9]501",,,,,
W,F,65-90,AGRICULTURAL & FOOD SCIENCE TECH,ASBESTOSIS,0,<5,,,
,,,[0]190,"[0]J61, [9]501",,,,,
W,M,65-90,AGRICULTURAL & FOOD SCIENCE TECH,ASBESTOSIS,0,<5,,,
,,,[0]190,"[0]J61, [9]501",,,,,
B,F,65-90,SCIENCE TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]190-192, [8]223-225, [9]223-225","[0]J61, [9]501",,,,,
B,M,65-90,SCIENCE TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]190-192, [8]223-225, [9]223-225","[0]J61, [9]501",,,,,
W,F,65-90,SCIENCE TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]190-192, [8]223-225, [9]223-225","[0]J61, [9]501",,,,,
W,M,65-90,SCIENCE TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]190-192, [8]223-225, [9]223-225","[0]J61, [9]501",,,,,
B,F,65-90,BIOLOGICAL TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]191, [8]223, [9]223","[0]J61, [9]501",,,,,
B,M,65-90,BIOLOGICAL TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]191, [8]223, [9]223","[0]J61, [9]501",,,,,
W,F,65-90,BIOLOGICAL TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]191, [8]223, [9]223","[0]J61, [9]501",,,,,
W,M,65-90,BIOLOGICAL TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]191, [8]223, [9]223","[0]J61, [9]501",,,,,
B,F,65-90,CHEMICAL TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]192, [8]224, [9]224","[0]J61, [9]501",,,,,
B,M,65-90,CHEMICAL TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]192, [8]224, [9]224","[0]J61, [9]501",,,,,
W,F,65-90,CHEMICAL TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]192, [8]224, [9]224","[0]J61, [9]501",,,,,
W,M,65-90,CHEMICAL TECHNICIANS,ASBESTOSIS,0,<5,,,
,,,"[0]192, [8]224, [9]224","[0]J61, [9]501",,,,,
B,F,65-90,"SCIENCE TECHNICIANS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]193-196, [8]225, [9]225","[0]J61, [9]501",,,,,
B,M,65-90,"SCIENCE TECHNICIANS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]193-196, [8]225, [9]225","[0]J61, [9]501",,,,,
W,F,65-90,"SCIENCE TECHNICIANS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]193-196, [8]225, [9]225","[0]J61, [9]501",,,,,
W,M,65-90,"SCIENCE TECHNICIANS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]193-196, [8]225, [9]225","[0]J61, [9]501",,,,,
B,F,65-90,"TECHNICIANS, EXC HEALTH, ENGINEERING, & SCIENCE",ASBESTOSIS,0,<5,,,
,,,"[0]903-904, 290, 296, 101, 790, 214-215, 194, 196, 244, [8]226-235, [9]226-235","[0]J61, [9]501",,,,,
B,M,65-90,"TECHNICIANS, EXC HEALTH, ENGINEERING, & SCIENCE",ASBESTOSIS,0,<5,,,
,,,"[0]903-904, 290, 296, 101, 790, 214-215, 194, 196, 244, [8]226-235, [9]226-235","[0]J61, [9]501",,,,,
W,F,65-90,"TECHNICIANS, EXC HEALTH, ENGINEERING, & SCIENCE",ASBESTOSIS,0,<5,,,
,,,"[0]903-904, 290, 296, 101, 790, 214-215, 194, 196, 244, [8]226-235, [9]226-235","[0]J61, [9]501",,,,,
W,M,65-90,"TECHNICIANS, EXC HEALTH, ENGINEERING, & SCIENCE",ASBESTOSIS,55,<5,,1,309
,,,"[0]903-904, 290, 296, 101, 790, 214-215, 194, 196, 244, [8]226-235, [9]226-235","[0]J61, [9]501",,,,,
B,F,65-90,AIRPLANE PILOTS & NAVIGATORS,ASBESTOSIS,0,<5,,,
,,,"[0]903, [8]226, [9]226","[0]J61, [9]501",,,,,
B,M,65-90,AIRPLANE PILOTS & NAVIGATORS,ASBESTOSIS,0,<5,,,
,,,"[0]903, [8]226, [9]226","[0]J61, [9]501",,,,,
W,F,65-90,AIRPLANE PILOTS & NAVIGATORS,ASBESTOSIS,0,<5,,,
,,,"[0]903, [8]226, [9]226","[0]J61, [9]501",,,,,
W,M,65-90,AIRPLANE PILOTS & NAVIGATORS,ASBESTOSIS,0,<5,,,
,,,"[0]903, [8]226, [9]226","[0]J61, [9]501",,,,,
B,F,65-90,AIR TRAFFIC CONTROLLERS,ASBESTOSIS,0,<5,,,
,,,"[0]904, [8]227, [9]227","[0]J61, [9]501",,,,,
B,M,65-90,AIR TRAFFIC CONTROLLERS,ASBESTOSIS,0,<5,,,
,,,"[0]904, [8]227, [9]227","[0]J61, [9]501",,,,,
W,F,65-90,AIR TRAFFIC CONTROLLERS,ASBESTOSIS,0,<5,,,
,,,"[0]904, [8]227, [9]227","[0]J61, [9]501",,,,,
W,M,65-90,AIR TRAFFIC CONTROLLERS,ASBESTOSIS,0,<5,,,
,,,"[0]904, [8]227, [9]227","[0]J61, [9]501",,,,,
B,F,65-90,"BROADCAST EQUIPMENT OPERATORS & MEDIA COMMUNICATORS, PHOTOGRAPHERS",ASBESTOSIS,0,<5,,,
,,,"[0]290-291, 296, [8]228, [9]228","[0]J61, [9]501",,,,,
B,M,65-90,"BROADCAST EQUIPMENT OPERATORS & MEDIA COMMUNICATORS, PHOTOGRAPHERS",ASBESTOSIS,0,<5,,,
,,,"[0]290-291, 296, [8]228, [9]228","[0]J61, [9]501",,,,,
W,F,65-90,"BROADCAST EQUIPMENT OPERATORS & MEDIA COMMUNICATORS, PHOTOGRAPHERS",ASBESTOSIS,0,<5,,,
,,,"[0]290-291, 296, [8]228, [9]228","[0]J61, [9]501",,,,,
W,M,65-90,"BROADCAST EQUIPMENT OPERATORS & MEDIA COMMUNICATORS, PHOTOGRAPHERS",ASBESTOSIS,0,<5,,,
,,,"[0]290-291, 296, [8]228, [9]228","[0]J61, [9]501",,,,,
B,F,65-90,COMPUTER PROGRAMMERS,ASBESTOSIS,0,<5,,,
,,,"[0]101, [8]229, [9]229","[0]J61, [9]501",,,,,
B,M,65-90,COMPUTER PROGRAMMERS,ASBESTOSIS,0,<5,,,
,,,"[0]101, [8]229, [9]229","[0]J61, [9]501",,,,,
W,F,65-90,COMPUTER PROGRAMMERS,ASBESTOSIS,0,<5,,,
,,,"[0]101, [8]229, [9]229","[0]J61, [9]501",,,,,
W,M,65-90,COMPUTER PROGRAMMERS,ASBESTOSIS,342,<5,,9,1905
,,,"[0]101, [8]229, [9]229","[0]J61, [9]501",,,,,
B,F,65-90,COMPUTER CONTROL PROGRAMMERS & OPERATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]790, [8]233, [9]233","[0]J61, [9]501",,,,,
B,M,65-90,COMPUTER CONTROL PROGRAMMERS & OPERATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]790, [8]233, [9]233","[0]J61, [9]501",,,,,
W,F,65-90,COMPUTER CONTROL PROGRAMMERS & OPERATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]790, [8]233, [9]233","[0]J61, [9]501",,,,,
W,M,65-90,COMPUTER CONTROL PROGRAMMERS & OPERATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]790, [8]233, [9]233","[0]J61, [9]501",,,,,
B,F,65-90,PARALEGALS AND LEGAL ASSISTANTS,ASBESTOSIS,0,<5,,,
,,,"[0]214-215, [8]234, [9]234","[0]J61, [9]501",,,,,
B,M,65-90,PARALEGALS AND LEGAL ASSISTANTS,ASBESTOSIS,0,<5,,,
,,,"[0]214-215, [8]234, [9]234","[0]J61, [9]501",,,,,
W,F,65-90,PARALEGALS AND LEGAL ASSISTANTS,ASBESTOSIS,0,<5,,,
,,,"[0]214-215, [8]234, [9]234","[0]J61, [9]501",,,,,
W,M,65-90,PARALEGALS AND LEGAL ASSISTANTS,ASBESTOSIS,0,<5,,,
,,,"[0]214-215, [8]234, [9]234","[0]J61, [9]501",,,,,
B,F,65-90,"TECHNICIANS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]194, 196, 244, [8]235, [9]235","[0]J61, [9]501",,,,,
B,M,65-90,"TECHNICIANS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]194, 196, 244, [8]235, [9]235","[0]J61, [9]501",,,,,
W,F,65-90,"TECHNICIANS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]194, 196, 244, [8]235, [9]235","[0]J61, [9]501",,,,,
W,M,65-90,"TECHNICIANS, NEC",ASBESTOSIS,0,<5,,,
,,,"[0]194, 196, 244, [8]235, [9]235","[0]J61, [9]501",,,,,
B,F,65-90,SALES OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]470-496, 081, [8]243-285, [9]243-285","[0]J61, [9]501",,,,,
B,M,65-90,SALES OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]470-496, 081, [8]243-285, [9]243-285","[0]J61, [9]501",,,,,
W,F,65-90,SALES OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]470-496, 081, [8]243-285, [9]243-285","[0]J61, [9]501",,,,,
W,M,65-90,SALES OCCUPATIONS,ASBESTOSIS,46,14,p<0.01,25,77
,,,"[0]470-496, 081, [8]243-285, [9]243-285","[0]J61, [9]501",,,,,
B,F,65-90,SUPERVISORS & MANAGERS OF SALES WORKERS,ASBESTOSIS,0,<5,,,
,,,"[0]470-471, [8]243, [9]243","[0]J61, [9]501",,,,,
B,M,65-90,SUPERVISORS & MANAGERS OF SALES WORKERS,ASBESTOSIS,0,<5,,,
,,,"[0]470-471, [8]243, [9]243","[0]J61, [9]501",,,,,
W,F,65-90,SUPERVISORS & MANAGERS OF SALES WORKERS,ASBESTOSIS,0,<5,,,
,,,"[0]470-471, [8]243, [9]243","[0]J61, [9]501",,,,,
W,M,65-90,SUPERVISORS & MANAGERS OF SALES WORKERS,ASBESTOSIS,28,<5,p<0.01,8,73
,,,"[0]470-471, [8]243, [9]243","[0]J61, [9]501",,,,,
B,F,65-90,"SALES REPRESENTATIVES, FINANCE AND BUSINESS SERVICES",ASBESTOSIS,0,<5,,,
,,,"[0]481, [8]253-257, [9]253-257","[0]J61, [9]501",,,,,
B,M,65-90,"SALES REPRESENTATIVES, FINANCE AND BUSINESS SERVICES",ASBESTOSIS,0,<5,,,
,,,"[0]481, [8]253-257, [9]253-257","[0]J61, [9]501",,,,,
W,F,65-90,"SALES REPRESENTATIVES, FINANCE AND BUSINESS SERVICES",ASBESTOSIS,0,<5,,,
,,,"[0]481, [8]253-257, [9]253-257","[0]J61, [9]501",,,,,
W,M,65-90,"SALES REPRESENTATIVES, FINANCE AND BUSINESS SERVICES",ASBESTOSIS,65,<5,,13,189
,,,"[0]481, [8]253-257, [9]253-257","[0]J61, [9]501",,,,,
B,F,65-90,INSURANCE SALES OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]081, 480-482, 484, 492, [8]253, [9]253","[0]J61, [9]501",,,,,
B,M,65-90,INSURANCE SALES OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]081, 480-482, 484, 492, [8]253, [9]253","[0]J61, [9]501",,,,,
W,F,65-90,INSURANCE SALES OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]081, 480-482, 484, 492, [8]253, [9]253","[0]J61, [9]501",,,,,
W,M,65-90,INSURANCE SALES OCCUPATIONS,ASBESTOSIS,97,<5,,20,285
,,,"[0]081, 480-482, 484, 492, [8]253, [9]253","[0]J61, [9]501",,,,,
B,F,65-90,APPRAISERS AND REAL ESTATE AGENTS,ASBESTOSIS,0,<5,,,
,,,"[0]081, 492, [8]254, [9]254","[0]J61, [9]501",,,,,
B,M,65-90,APPRAISERS AND REAL ESTATE AGENTS,ASBESTOSIS,0,<5,,,
,,,"[0]081, 492, [8]254, [9]254","[0]J61, [9]501",,,,,
W,F,65-90,APPRAISERS AND REAL ESTATE AGENTS,ASBESTOSIS,0,<5,,,
,,,"[0]081, 492, [8]254, [9]254","[0]J61, [9]501",,,,,
W,M,65-90,APPRAISERS AND REAL ESTATE AGENTS,ASBESTOSIS,0,<5,,,
,,,"[0]081, 492, [8]254, [9]254","[0]J61, [9]501",,,,,
B,F,65-90,SECURITIES AND FINANCIAL SERVICES SALES OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]482, [8]255, [9]255","[0]J61, [9]501",,,,,
B,M,65-90,SECURITIES AND FINANCIAL SERVICES SALES OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]482, [8]255, [9]255","[0]J61, [9]501",,,,,
W,F,65-90,SECURITIES AND FINANCIAL SERVICES SALES OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]482, [8]255, [9]255","[0]J61, [9]501",,,,,
W,M,65-90,SECURITIES AND FINANCIAL SERVICES SALES OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]482, [8]255, [9]255","[0]J61, [9]501",,,,,
B,F,65-90,ADVERTISING AND SALES AGENTS,ASBESTOSIS,0,<5,,,
,,,"[0]480, [8]256, [9]256","[0]J61, [9]501",,,,,
B,M,65-90,ADVERTISING AND SALES AGENTS,ASBESTOSIS,0,<5,,,
,,,"[0]480, [8]256, [9]256","[0]J61, [9]501",,,,,
W,F,65-90,ADVERTISING AND SALES AGENTS,ASBESTOSIS,0,<5,,,
,,,"[0]480, [8]256, [9]256","[0]J61, [9]501",,,,,
W,M,65-90,ADVERTISING AND SALES AGENTS,ASBESTOSIS,0,<5,,,
,,,"[0]480, [8]256, [9]256","[0]J61, [9]501",,,,,
B,F,65-90,SALES REPRESENTATIVES AND ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]485, 493, [8]258, 259, [9]258, 259","[0]J61, [9]501",,,,,
B,M,65-90,SALES REPRESENTATIVES AND ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]485, 493, [8]258, 259, [9]258, 259","[0]J61, [9]501",,,,,
W,F,65-90,SALES REPRESENTATIVES AND ENGINEERS,ASBESTOSIS,0,<5,,,
,,,"[0]485, 493, [8]258, 259, [9]258, 259","[0]J61, [9]501",,,,,
W,M,65-90,SALES REPRESENTATIVES AND ENGINEERS,ASBESTOSIS,54,<5,,6,194
,,,"[0]485, 493, [8]258, 259, [9]258, 259","[0]J61, [9]501",,,,,
B,F,65-90,RETAIL SALES WORKERS,ASBESTOSIS,0,<5,,,
,,,"[0]406, 472-476, 494-496, [8]263-278, [9]263-278","[0]J61, [9]501",,,,,
B,M,65-90,RETAIL SALES WORKERS,ASBESTOSIS,0,<5,,,
,,,"[0]406, 472-476, 494-496, [8]263-278, [9]263-278","[0]J61, [9]501",,,,,
W,F,65-90,RETAIL SALES WORKERS,ASBESTOSIS,0,<5,,,
,,,"[0]406, 472-476, 494-496, [8]263-278, [9]263-278","[0]J61, [9]501",,,,,
W,M,65-90,RETAIL SALES WORKERS,ASBESTOSIS,67,5,,22,157
,,,"[0]406, 472-476, 494-496, [8]263-278, [9]263-278","[0]J61, [9]501",,,,,
B,F,65-90,RETAIL SALESPERSONS,ASBESTOSIS,0,<5,,,
,,,"[0]476, [8]263, 264-265, 266-267, 248, [9]263, 264-265, 266-267, 268","[0]J61, [9]501",,,,,
B,M,65-90,RETAIL SALESPERSONS,ASBESTOSIS,0,<5,,,
,,,"[0]476, [8]263, 264-265, 266-267, 248, [9]263, 264-265, 266-267, 268","[0]J61, [9]501",,,,,
W,F,65-90,RETAIL SALESPERSONS,ASBESTOSIS,0,<5,,,
,,,"[0]476, [8]263, 264-265, 266-267, 248, [9]263, 264-265, 266-267, 268","[0]J61, [9]501",,,,,
W,M,65-90,RETAIL SALESPERSONS,ASBESTOSIS,134,5,,44,313
,,,"[0]476, [8]263, 264-265, 266-267, 248, [9]263, 264-265, 266-267, 268","[0]J61, [9]501",,,,,
B,F,65-90,PARTS SALESPERSONS,ASBESTOSIS,0,<5,,,
,,,"[0]475, [8]269, [9]269","[0]J61, [9]501",,,,,
B,M,65-90,PARTS SALESPERSONS,ASBESTOSIS,0,<5,,,
,,,"[0]475, [8]269, [9]269","[0]J61, [9]501",,,,,
W,F,65-90,PARTS SALESPERSONS,ASBESTOSIS,0,<5,,,
,,,"[0]475, [8]269, [9]269","[0]J61, [9]501",,,,,
W,M,65-90,PARTS SALESPERSONS,ASBESTOSIS,0,<5,,,
,,,"[0]475, [8]269, [9]269","[0]J61, [9]501",,,,,
B,F,65-90,"SALESPERSONS, OTHER COMMODITIES",ASBESTOSIS,0,<5,,,
,,,"[0]406, 494, [8]274, [9]274","[0]J61, [9]501",,,,,
B,M,65-90,"SALESPERSONS, OTHER COMMODITIES",ASBESTOSIS,0,<5,,,
,,,"[0]406, 494, [8]274, [9]274","[0]J61, [9]501",,,,,
W,F,65-90,"SALESPERSONS, OTHER COMMODITIES",ASBESTOSIS,0,<5,,,
,,,"[0]406, 494, [8]274, [9]274","[0]J61, [9]501",,,,,
W,M,65-90,"SALESPERSONS, OTHER COMMODITIES",ASBESTOSIS,0,<5,,,
,,,"[0]406, 494, [8]274, [9]274","[0]J61, [9]501",,,,,
B,F,65-90,CASHIERS,ASBESTOSIS,0,<5,,,
,,,"[0]472, [8]276, [9]276","[0]J61, [9]501",,,,,
B,M,65-90,CASHIERS,ASBESTOSIS,0,<5,,,
,,,"[0]472, [8]276, [9]276","[0]J61, [9]501",,,,,
W,F,65-90,CASHIERS,ASBESTOSIS,0,<5,,,
,,,"[0]472, [8]276, [9]276","[0]J61, [9]501",,,,,
W,M,65-90,CASHIERS,ASBESTOSIS,0,<5,,,
,,,"[0]472, [8]276, [9]276","[0]J61, [9]501",,,,,
B,F,65-90,OTHER SALES RELATED OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]490-496, [8]277-285, [9]277-285","[0]J61, [9]501",,,,,
B,M,65-90,OTHER SALES RELATED OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]490-496, [8]277-285, [9]277-285","[0]J61, [9]501",,,,,
W,F,65-90,OTHER SALES RELATED OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]490-496, [8]277-285, [9]277-285","[0]J61, [9]501",,,,,
W,M,65-90,OTHER SALES RELATED OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]490-496, [8]277-285, [9]277-285","[0]J61, [9]501",,,,,
B,F,65-90,OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS,ASBESTOSIS,645,<5,,16,3592
,,,"[0]500-593, 483, [8]303-389, [9]303-386","[0]J61, [9]501",,,,,
B,M,65-90,OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]500-593, 483, [8]303-389, [9]303-386","[0]J61, [9]501",,,,,
W,F,65-90,OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS,ASBESTOSIS,71,<5,,2,396
,,,"[0]500-593, 483, [8]303-389, [9]303-386","[0]J61, [9]501",,,,,
W,M,65-90,OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS,ASBESTOSIS,71,9,,32,134
,,,"[0]500-593, 483, [8]303-389, [9]303-386","[0]J61, [9]501",,,,,
B,F,65-90,"SUPERVISORS, OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS",ASBESTOSIS,0,<5,,,
,,,"[0]500, [8]303-307, [9]303-307","[0]J61, [9]501",,,,,
B,M,65-90,"SUPERVISORS, OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS",ASBESTOSIS,0,<5,,,
,,,"[0]500, [8]303-307, [9]303-307","[0]J61, [9]501",,,,,
W,F,65-90,"SUPERVISORS, OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS",ASBESTOSIS,0,<5,,,
,,,"[0]500, [8]303-307, [9]303-307","[0]J61, [9]501",,,,,
W,M,65-90,"SUPERVISORS, OFFICE & ADMINISTRATIVE SUPPORT OCCUPATIONS",ASBESTOSIS,0,<5,,,
,,,"[0]500, [8]303-307, [9]303-307","[0]J61, [9]501",,,,,
B,F,65-90,COMPUTER EQUIPMENT OPERATORS,ASBESTOSIS,0,<5,,,
,,,"[0]580, [8]308, 309, [9]308, 309","[0]J61, [9]501",,,,,
B,M,65-90,COMPUTER EQUIPMENT OPERATORS,ASBESTOSIS,0,<5,,,
,,,"[0]580, [8]308, 309, [9]308, 309","[0]J61, [9]501",,,,,
W,F,65-90,COMPUTER EQUIPMENT OPERATORS,ASBESTOSIS,0,<5,,,
,,,"[0]580, [8]308, 309, [9]308, 309","[0]J61, [9]501",,,,,
W,M,65-90,COMPUTER EQUIPMENT OPERATORS,ASBESTOSIS,0,<5,,,
,,,"[0]580, [8]308, 309, [9]308, 309","[0]J61, [9]501",,,,,
B,F,65-90,"SECRETARIES, STENOGRAPHERS, & TYPISTS",ASBESTOSIS,0,<5,,,
,,,"[0]570, 582, 593, [8]313-315, [9]313-315","[0]J61, [9]501",,,,,
B,M,65-90,"SECRETARIES, STENOGRAPHERS, & TYPISTS",ASBESTOSIS,0,<5,,,
